,precision,recall,f1-score,support
Albrecht_Du╠êrer,0.8918918918918919,1.0,0.9428571428571428,33.0
Alfred_Sisley,0.71875,0.8846153846153846,0.7931034482758621,26.0
Amedeo_Modigliani,0.9,0.9473684210526315,0.9230769230769231,19.0
Andrei_Rublev,0.7692307692307693,1.0,0.8695652173913043,10.0
Andy_Warhol,0.8888888888888888,0.8888888888888888,0.8888888888888888,18.0
Camille_Pissarro,0.5,0.4444444444444444,0.47058823529411764,9.0
Caravaggio,1.0,0.8,0.8888888888888888,5.0
Claude_Monet,0.5,0.125,0.2,8.0
Diego_Rivera,0.8,0.5714285714285714,0.6666666666666666,7.0
Diego_Velazquez,0.6666666666666666,0.6153846153846154,0.64,13.0
Edgar_Degas,0.8970588235294118,0.8714285714285714,0.8840579710144928,70.0
Edouard_Manet,0.875,0.7777777777777778,0.8235294117647058,9.0
Edvard_Munch,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
El_Greco,0.8181818181818182,1.0,0.9,9.0
Eugene_Delacroix,0.5,0.3333333333333333,0.4,3.0
Francisco_Goya,0.9629629629629629,0.896551724137931,0.9285714285714286,29.0
Frida_Kahlo,0.7692307692307693,0.8333333333333334,0.8,12.0
Georges_Seurat,1.0,0.75,0.8571428571428571,4.0
Giotto_di_Bondone,0.8571428571428571,1.0,0.9230769230769231,12.0
Gustav_Klimt,0.9,0.75,0.8181818181818182,12.0
Gustave_Courbet,0.8,0.6666666666666666,0.7272727272727273,6.0
Henri_Matisse,0.8421052631578947,0.8421052631578947,0.8421052631578947,19.0
Henri_Rousseau,1.0,1.0,1.0,7.0
Henri_de_Toulouse-Lautrec,0.8571428571428571,0.75,0.8,8.0
Hieronymus_Bosch,0.9166666666666666,0.8461538461538461,0.88,13.0
Jackson_Pollock,1.0,1.0,1.0,3.0
Jan_van_Eyck,0.8333333333333334,0.625,0.7142857142857143,8.0
Joan_Miro,0.75,0.9,0.8181818181818182,10.0
Kazimir_Malevich,0.7692307692307693,0.7692307692307693,0.7692307692307693,13.0
Leonardo_da_Vinci,0.9230769230769231,0.8,0.8571428571428571,15.0
Marc_Chagall,0.9130434782608695,0.875,0.8936170212765957,24.0
Michelangelo,0.8333333333333334,1.0,0.9090909090909091,5.0
Mikhail_Vrubel,1.0,0.7058823529411765,0.8275862068965517,17.0
Pablo_Picasso,0.85,0.7727272727272727,0.8095238095238095,44.0
Paul_Cezanne,1.0,0.5,0.6666666666666666,4.0
Paul_Gauguin,0.8787878787878788,0.9354838709677419,0.90625,31.0
Paul_Klee,0.9333333333333333,0.7368421052631579,0.8235294117647058,19.0
Peter_Paul_Rubens,0.7333333333333333,0.7857142857142857,0.7586206896551724,14.0
Pierre-Auguste_Renoir,0.7948717948717948,0.9117647058823529,0.8493150684931506,34.0
Piet_Mondrian,0.7142857142857143,0.5555555555555556,0.625,9.0
Pieter_Bruegel,1.0,0.8571428571428571,0.9230769230769231,14.0
Raphael,0.75,0.8181818181818182,0.782608695652174,11.0
Rembrandt,0.88,0.8461538461538461,0.8627450980392157,26.0
Rene_Magritte,0.8,0.8421052631578947,0.8205128205128205,19.0
Salvador_Dali,1.0,0.7857142857142857,0.88,14.0
Sandro_Botticelli,0.6956521739130435,1.0,0.8205128205128205,16.0
Titian,0.7142857142857143,0.8,0.7547169811320755,25.0
Vasiliy_Kandinskiy,1.0,0.6666666666666666,0.8,9.0
Vincent_van_Gogh,0.85,0.9659090909090909,0.9042553191489362,88.0
William_Turner,1.0,1.0,1.0,6.0
accuracy,0.8449704142011835,0.8449704142011835,0.8449704142011835,0.8449704142011835
macro avg,0.8416164269614567,0.7976577784269199,0.8095475349027932,845.0
weighted avg,0.8489167156952157,0.8449704142011835,0.8408214058920277,845.0
